School,FBS Conference,Coaches Compensation ($),Recruiting ,Game Expenses and Travel,Ticket Sales,"Corporate Sponsorship, Advertising, Licensing",Student Fees ($)
Appalachian State University,Sun Belt Conference,5820529,376196,3948201,4013750,1709945,13273619
Arizona State University,Pacific-12 Conference,21578487,1342096,11172901,13763930,20252086,11375799
Arkansas State University,Sun Belt Conference,4673709,399959,3590910,1091912,3609125,4303100
Auburn University,Southeastern Conference,29178886,1702093,10108053,33820864,9658649,5913708
Ball State University,Mid-American Conference,6026935,331618,2300688,1493985,400000,12933600
Baylor University,Big 12 Conference,,,,,,
Boise State University,Mountain West Conference,10346898,558104,4995535,6601185,6838779,3784220
Boston College,Atlantic Coast Conference,,,,,,
Bowling Green State University,Mid-American Conference,6111013,475647,2981361,1998702,722611,13335180
California State University-Fresno,Mountain West Conference,11780575,471401,6282706,6040949,3321203,4292164
Central Michigan University,Mid-American Conference,7111026,567605,3497108,737914,668368,
Clemson University,Atlantic Coast Conference,26941535,2350773,16085709,29867046,12634474,
Coastal Carolina University,Sun Belt Conference,6852024,720979,3484607,774834,951944,5308950
Colorado State University,Mountain West Conference,9580571,740368,4898328,4638787,7349561,5957817
Duke University,Atlantic Coast Conference,,,,,,
East Carolina University,American Athletic Conference,9695808,658335,4269782,4768970,2319633,15582238
Eastern Michigan University,Mid-American Conference,5872008,359862,2784410,675734,221964,
Florida Atlantic University,Conference USA,7266181,470765,6071887,1740684,800489,14221983
Florida International University,Conference USA,6866689,338268,4202982,1091680,674726,25501184
Florida State University,Atlantic Coast Conference,25726647,1832367,10619570,17341676,15403795,8743772
Georgia Institute of Technology,Atlantic Coast Conference,16375978,1512262,9631166,10388108,7042248,4513637
Georgia Southern University,Sun Belt Conference,5617427,297453,3153060,1655667,1253608,9069641
Georgia State University,Sun Belt Conference,6453951,247863,3250447,664017,1290937,15333472
Indiana University-Bloomington,Big Ten Conference,23700060,1635314,11520602,17615423,10942948,
Iowa State University,Big 12 Conference,18429163,1344222,9607472,18597847,2728452,1865821
Kansas State University,Big 12 Conference,16703702,1580120,9869281,14544893,2178521,
Kent State University,Mid-American Conference,6140663,498651,3967511,342851,961008,13454019
Louisiana State University and Agricultural & Mechanical College,Southeastern Conference,33976175,2789241,18406467,41650451,4304175,
Louisiana Tech University,Conference USA,5373591,261897,2758979,1410198,310451,
